input size(bytes), total time(μs), internal time(μs), enclave transition(μs)
1024,298,15,283
2048,140,131,9
4096,144,59,85
8192,131,117,14
16384,223,186,37
32768,382,345,37
65536,744,683,61
131072,1529,1412,117
262144,3252,2754,498
524288,6664,5840,824
1048576,12761,11248,1513
2097152,25964,22781,3183
4194304,51972,45148,6824
8388608,103098,89275,13823
16777216,202762,174380,28382
33554432,406927,350635,56292
67108864,819348,701358,117990
134217728,1998834,1768769,230065
268435456,4362058,3565813,796245
536870912,8583317,7005002,1578315
1073741824,17152200,14013259,3138941

